x_m,y_m
1.326229503556633915e+01,-7.576038144847727640e-01
1.324753782837666094e+01,-7.473742796044426928e-01
1.323169392486698825e+01,-7.361098075672860563e-01
1.321533056341936430e+01,-7.247214377597616108e-01
1.319643706755421420e+01,-7.120283057758209910e-01
1.318115976417896817e+01,-7.042563430974764227e-01
1.316351123573483584e+01,-6.936651960781861082e-01
1.314521211328589523e+01,-6.823173608276934532e-01
1.312832600644219028e+01,-6.730840194703482382e-01
1.310925780864579338e+01,-6.620118425348247015e-01
1.309262063996178149e+01,-6.526667987546453942e-01
1.307265533778438815e+01,-6.406932871678050478e-01
1.305514934970071295e+01,-6.304031738313752298e-01
1.303574616029106004e+01,-6.186080096955326457e-01
1.301752245968201649e+01,-6.083097652002027456e-01
1.299912668885436773e+01,-5.975855131409211207e-01
1.297936906269531931e+01,-5.855645560062804345e-01
1.295858083222665513e+01,-5.738087685061722398e-01
1.294089324982842903e+01,-5.634206150395189017e-01
1.292113854247312155e+01,-5.518605002008942773e-01
1.289938000377204652e+01,-5.391299754883286388e-01
1.288049587595044798e+01,-5.294225350848931200e-01
1.285970181778542631e+01,-5.187058833773887656e-01
1.283708653435142644e+01,-5.071270482011650538e-01
1.281787669795460261e+01,-4.967971513365573855e-01
1.279577087868570473e+01,-4.852330281043617521e-01
1.277415448106189011e+01,-4.738065902521100825e-01
1.275457200108362521e+01,-4.630503197386861003e-01
1.273027266186887196e+01,-4.515421528156383091e-01
1.271048998751124159e+01,-4.411749933748690400e-01
1.268641052902683519e+01,-4.294981123860683869e-01
1.266544364624455987e+01,-4.185106378424537366e-01
1.264228864216443604e+01,-4.078761102152504425e-01
1.261888918958836037e+01,-3.972573434406453385e-01
1.259726503312058199e+01,-3.872061452086024147e-01
1.257266779388446487e+01,-3.767816255643260392e-01
1.255091840040521411e+01,-3.670576501861430585e-01
1.252602707533062976e+01,-3.571359259832411204e-01
1.250322595149160954e+01,-3.494711794587423426e-01
1.247864447742873395e+01,-3.419774771118987977e-01
1.245495156362679445e+01,-3.350258589778077334e-01
1.243184242693925157e+01,-3.285281741483272455e-01
1.240632482093153399e+01,-3.224651178386156447e-01
1.238293356126771094e+01,-3.169675745044595039e-01
1.235788847512986521e+01,-3.121214004674089937e-01
1.233461763616913487e+01,-3.079729563331455866e-01
1.230922976529767432e+01,-3.045713625840062999e-01
1.228610095519884027e+01,-3.019015663918592218e-01
1.226325023581464535e+01,-3.000124311650776421e-01
1.223845361796198361e+01,-2.993230776394205650e-01
1.221681139253381332e+01,-2.991452823205936196e-01
1.219302767794750864e+01,-3.004106697297755924e-01
1.216954144494261136e+01,-3.017720254594959406e-01
1.214967773094777748e+01,-3.034428013219414577e-01
1.212534103566230570e+01,-3.072007573124572732e-01
1.210565625068911189e+01,-3.099746185253247077e-01
1.208529109391472112e+01,-3.129955552863235013e-01
1.206473158809239798e+01,-3.170171299700464962e-01
1.204670065489552755e+01,-3.210262903628801068e-01
1.202795980714816437e+01,-3.262508726345917376e-01
1.201010113968518844e+01,-3.322915754586221460e-01
1.199348090435879932e+01,-3.387832215091634569e-01
1.197649041235550627e+01,-3.468344105158724933e-01
1.196059404999749098e+01,-3.557567287140562806e-01
1.194878793163188035e+01,-3.630115816156362918e-01
1.193519850979837038e+01,-3.720248009048081617e-01
1.192325427144360717e+01,-3.809097654096708641e-01
1.191159461574049772e+01,-3.923093251994549391e-01
1.190321468192797028e+01,-4.013701386835638596e-01
1.189380740599424158e+01,-4.129891473046289896e-01
1.188397783649042694e+01,-4.272372259898759017e-01
1.187580124884323496e+01,-4.407101394472652256e-01
1.186595089952690429e+01,-4.576755434990766869e-01
1.185877362335916096e+01,-4.729277982854076523e-01
1.185049755921069092e+01,-4.923955012228383721e-01
1.184385943871235547e+01,-5.098091905697224036e-01
1.183714139873875837e+01,-5.320011018637962330e-01
1.183140248176793108e+01,-5.532941493300098657e-01
1.182578166514060136e+01,-5.760092918580941301e-01
